original_id,aug_id,country_name,country_code,map_coordinates,url,data_source,region_name,region_code,title,description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector
0,01075b82-8add-484a-a9c0-e2cdb47f03e1,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Sunol, California",94586,"Water / Sewer Construction in Sunol, California","Renovation of a civil project in Sunol, California.  Completed plans call for the renovation of a water / sewer project.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",12/28/2023,Invitation to Bid/Request for Proposals,"$183,000,000.00","$183,000,000.00",Sewer Contractors,Construction (COFOG 1),Water & Sewerage (COFOG 11)
1,30c6039c-09a6-44c0-972b-4359cc2bd87e,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Acton, California",94586,"Roads / Highways Construction in Acton, California","Site work and paving for a road / highway in Acton, California.  Completed plans call for site work for a road / highway; and for paving for a road / highway.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",11/30/2023,Design-Build/Construction Manager/General Contractor,"$160,000,000.00","$160,000,000.00",Leonida Builders,Construction (COFOG 1),Roads & Bridges (COFOG 12)
2,fb988173-cbfa-4eed-84bd-8db74d84ce62,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Hughes Mill, California",94586,"Bridges / Tunnels Construction in Hughes Mill, California","Site work and paving for a civil project in Hughes Mill, California.  Completed plans call for site work for a road / highway; for paving for a road / highway; bridge / tunnel; bridge / tunnel; and water / sewer project.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",12/14/2023,Design-Build/Construction Manager/General Contractor,"$120,000,000.00","$120,000,000.00",Construction Pros,Construction (COFOG 1),Roads & Bridges (COFOG 12)
3,0529b6b9-0422-4df1-aea2-db519167020c,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Colfax, California",94586,"Roads / Highways Construction in Colfax, California","Site work, paving and outdoor lighting for a civil project in Colfax, California.  Completed plans call for site work for a road / highway; for paving for a road / highway; water / sewer project; and for outdoor lighting for a road / highway.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",12/14/2023,Invitation to Bid/Request for Proposals,"$120,000,000.00","$120,000,000.00",Construction Pros,Construction (COFOG 1),Roads & Bridges (COFOG 12)
4,947dd5da-8e0f-48d2-a08b-f350769ee86b,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"East Los Angeles, California",94586,"Educational Construction in East Los Angeles, California","Demolition, site work and new construction of an educational facility in East Los Angeles, California.  Completed plans call for the demolition of a educational facility; for the construction of a educational facility; and for site work for a educational facility.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",06/3/2024,Design-Build/Construction Manager/General Contractor,"$105,000,000.00","$105,000,000.00",Alpha Structural,Education (COFOG 9),Educational Buildings (COFOG 91)
5,27cd7658-e956-4c8f-a338-11b6aad1f8fb,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Stockton, California",94586,"Roads / Highways Construction in Stockton, California","Site work and paving for a road / highway in Stockton, California.  Completed plans call for site work for a road / highway; and for paving for a road / highway.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",11/30/2023,Invitation to Bid/Request for Proposals,"$98,000,000.00","$98,000,000.00",Sewer Contractors,Construction (COFOG 1),Roads & Bridges (COFOG 12)
6,463adfab-252e-422f-8527-96b80c22a91e,California,US-CA,Latitude: 34.052235 Longitude: -118.243683,https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Los Angeles, California",94586,"Educational Construction in Los Angeles, California","Demolition, site work and new construction of an educational facility in Los Angeles, California.  Completed plans call for the demolition of a educational facility; for the construction of a educational facility; and for site work for a educational facility.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",01/19/2024,Design-Build/Construction Manager/General Contractor,"$95,800,000.00","$95,800,000.00",Angeles Contractors,Education (COFOG 9),Educational Buildings (COFOG 91)
7,6d41ba25-5805-45dc-93f8-cdd46c7d67dd,California,US-CA,Latitude: 33.7670 Longitude: -118.1892,https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Long Beach, California",94586,"Bridges / Tunnels Construction in Long Beach, California","Site work and paving for a bridge / tunnel in Long Beach, California.  Completed plans call for site work for a bridge / tunnel; and for paving for a bridge / tunnel.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",01/11/2024,Design-Build/Construction Manager/General Contractor,"$95,000,000.00","$95,000,000.00",Bethlehem Steel,Construction (COFOG 1),Roads & Bridges (COFOG 12)
8,8a0948b1-1a60-45ef-9a1e-54ac59f04a98,California,US-CA,Latitude: 37.804363 Longitude: -122.271111,https://www.constructconnect.com/construction-near-me/california-construction-projects,ConstructConnect,"Oakland, California",94586,"Playgrounds / Parks / Athletic Fields Construction in Oakland, California","Remodeling and renovation of a playground / park / athletic field in Oakland, California.  Completed plans call for the renovation of a playground / park / athletic field; and for the remodel of a playground / park / athletic field.",GC Bidding,"['Pre-construction', 'Sitework and foundation', 'Rough framing', 'Exterior construction', 'MEP (Mechanical, Electrical, Plumbing)', 'Finishes and fixtures']",11/30/2023,Invitation to Bid/Request for Proposals,"$70,000,000.00","$70,000,000.00",Alpha Structural,Other (COFOG 99),Recreational Facilities (COFOG 992)
9,c19fe626-51c5-4eb7-a349-3d2f2c71967f,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.elkgrovecity.org/southeast-policy-area/development-projects,ElkGrove,"Elk Grove, California",94586,Souza Dairy,Tentative subdivision map to divide 375&plusmn; acres into village center/mixed use and residential development,Approved August 2015,"['Planning Commission Packet', 'City Council Packet', 'City Council Resolution of project approval', 'Development Agreement']",01/06/2023,Bids by Invitation,"$28,511.00","$28,511.00","Souza Elk Grove, LLC",Construction (COFOG 1),"Single-Family Homes, Site Development"
